4.541
0.00100227
0.00181265
0.000276427
0.000433622
0.001 1e-06
-0.001 1e-06
-0.003 9e-06
0.001 1e-06
0.001 1e-06
0.001 1e-06
-0.001 1e-06
0.001 1e-06
0.001 1e-06
0.001 1e-06
0.001 1e-06
0.001 1e-06
0.001 1e-06
0.003 9e-06
0.003 9e-06
0.003 9e-06
0.003 9e-06
0.003 9e-06
0.001 1e-06
0.001 1e-06
-0.001 1e-06
-0.001 1e-06
0.001 1e-06
-0.001 1e-06
0.001 1e-06
-0.001 1e-06
-0.001 1e-06
-0.001 1e-06
-0.003 9e-06
-0.001 1e-06
-0.001 1e-06
-0.001 1e-06
-0.001 1e-06
-0.001 1e-06
-0.003 9e-06
-0.001 1e-06
-0.003 9e-06
-0.001 1e-06
-0.003 9e-06
-0.003 9e-06
-0.003 9e-06
0.001 1e-06
0 0

-0.006 0.000138
